"";"Hair";"FSIQ";"VIQ";"PIQ";"Weight";"Height";"MRI_Count"
"1";"white";133;132;124;"118";"64.5";816932
"2";"black";140;150;124;".";"72.5";1001121
"3";"black";139;123;150;"143";"73.3";1038437
"4";"black";133;129;128;"172";"68.8";965353
"5";"white";137;132;134;"147";"65.0";951545
"6";"white";99;90;110;"146";"69.0";928799
"7";"white";138;136;131;"138";"64.5";991305
"8";"white";92;90;98;"175";"66.0";854258
"9";"black";89;93;84;"134";"66.3";904858
"10";"black";133;114;147;"172";"68.8";955466
"11";"white";132;129;124;"118";"64.5";833868
"12";"black";141;150;128;"151";"70.0";1079549
"13";"black";135;129;124;"155";"69.0";924059
"14";"white";140;120;147;"155";"70.5";856472
"15";"white";96;100;90;"146";"66.0";878897
"16";"white";83;71;96;"135";"68.0";865363
"17";"white";132;132;120;"127";"68.5";852244
"18";"black";100;96;102;"178";"73.5";945088
"19";"white";101;112;84;"136";"66.3";808020
"20";"black";80;77;86;"180";"70.0";889083
"21";"black";83;83;86;".";".";892420
"22";"black";97;107;84;"186";"76.5";905940
"23";"white";135;129;134;"122";"62.0";790619
"24";"black";139;145;128;"132";"68.0";955003
"25";"white";91;86;102;"114";"63.0";831772
"26";"black";141;145;131;"171";"72.0";935494
"27";"white";85;90;84;"140";"68.0";798612
"28";"black";103;96;110;"187";"77.0";1062462
"29";"white";77;83;72;"106";"63.0";793549
"30";"white";130;126;124;"159";"66.5";866662
"31";"white";133;126;132;"127";"62.5";857782
"32";"black";144;145;137;"191";"67.0";949589
"33";"black";103;96;110;"192";"75.5";997925
"34";"black";90;96;86;"181";"69.0";879987
"35";"white";83;90;81;"143";"66.5";834344
"36";"white";133;129;128;"153";"66.5";948066
"37";"black";140;150;124;"144";"70.5";949395
"38";"white";88;86;94;"139";"64.5";893983
"39";"black";81;90;74;"148";"74.0";930016
"40";"black";89;91;89;"179";"75.5";935863
